game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,shot_x,shot_y,shot_team,shot_outcome,shooter,assist,three_pt,free_throw,possession_before,possession_after,win_prob_naive
401169705,1/21/2020,Kansas,Kansas State,1,1,20:00,2400,2400,PLAY,0,0,0,0,0.93383276,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,2,1,20:00,2400,2400,Jump Ball won by Kansas,0,0,0,0,0.93383276,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,3,1,19:48,2388,2388,David McCormack missed Jumper.,0,0,0,12,0.933636393,0.5,4,4,16.5,44,86.89777778,Kansas,missed,David McCormack,NA,FALSE,FALSE,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,4,1,19:48,2388,2388,Cartier Diarra Defensive Rebound.,0,0,0,0,0.933636393,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,5,1,19:25,2365,2365,Makol Mawien missed Three Point Jumper.,0,0,0,23,0.933250508,0.5,4,4,16.5,43,18.8,Kansas State,missed,Makol Mawien,NA,TRUE,FALSE,Kansas State,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,6,1,19:25,2365,2365,David McCormack Defensive Rebound.,0,0,0,0,0.933250508,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas State,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,7,1,19:15,2355,2355,Devon Dotson Turnover.,0,0,0,10,0.933078726,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,8,1,18:57,2337,2337,Makol Mawien missed Jumper.,0,0,0,18,0.932763215,0.5,4,4,16.5,25,10.44444444,Kansas State,missed,Makol Mawien,NA,FALSE,FALSE,Kansas State,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,9,1,18:57,2337,2337,Udoka Azubuike Defensive Rebound.,0,0,0,0,0.932763215,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas State,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,10,1,18:46,2326,2326,Devon Dotson missed Jumper.,0,0,0,11,0.932566321,0.5,4,4,16.5,18,70.18666667,Kansas,missed,Devon Dotson,NA,FALSE,FALSE,Kansas,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,11,1,18:46,2326,2326,David McCormack Offensive Rebound.,0,0,0,0,0.932566321,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,12,1,18:41,2321,2321,Foul on Levi Stockard III.,0,0,0,5,0.93247578,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,13,1,18:38,2318,2318,Devon Dotson Turnover.,0,0,0,3,0.932421138,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,14,1,18:38,2318,2318,Cartier Diarra Steal.,0,0,0,0,0.932421138,0.5,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,15,1,18:32,2312,2312,David Sloan made Dunk. Assisted by Cartier Diarra.,0,2,-2,6,0.919719301,0.454078361,4,4,16.5,28,5.222222222,Kansas State,made,David Sloan,Cartier Diarra,FALSE,FALSE,Kansas State,Kansas,NA
401169705,1/21/2020,Kansas,Kansas State,16,1,18:11,2291,2291,David McCormack Turnover.,0,2,-2,21,0.919120233,0.453612274,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,17,1,18:11,2291,2291,Cartier Diarra Steal.,0,2,-2,0,0.919120233,0.453612274,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,Kansas State,NA
401169705,1/21/2020,Kansas,Kansas State,18,1,18:05,2285,2285,Cartier Diarra Turnover.,0,2,-2,6,0.918945912,0.453478295,4,4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,Kansas State,Kansas,NA
