game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,shot_x,shot_y,shot_team,shot_outcome,shooter,assist,three_pt,free_throw,possession_before,possession_after,win_prob_naive
401173770,2/8/2020,Nevada,San Jose St,1,1,20:00,2400,2400,PLAY,0,0,0,0,0.923202808,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,2,1,19:47,2387,2387,Lindsey Drew missed Three Point Jumper.,0,0,0,13,0.922973371,0.5,6,6,15.5,NA,NA,Nevada,missed,Lindsey Drew,NA,TRUE,FALSE,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,3,1,19:44,2384,2384,San Jose State Defensive Rebound.,0,0,0,3,0.922919827,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,4,1,19:33,2373,2373,Ralph Agee missed Layup.,0,0,0,11,0.922721555,0.5,6,6,15.5,NA,NA,San Jose St,missed,Ralph Agee,NA,FALSE,FALSE,San Jose St,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,5,1,19:33,2373,2373,Johncarlos Reyes Block.,0,0,0,0,0.922721555,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,6,1,19:29,2369,2369,Jalen Harris Defensive Rebound.,0,0,0,4,0.922648691,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,7,1,19:26,2366,2366,Lindsey Drew Turnover.,0,0,0,3,0.922593772,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,8,1,19:26,2366,2366,Brae Ivey Steal.,0,0,0,0,0.922593772,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,9,1,19:26,2366,2366,Foul on Lindsey Drew.,0,0,0,0,0.922593772,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,10,1,19:07,2347,2347,Christian Anigwe missed Three Point Jumper.,0,0,0,19,0.922240478,0.5,6,6,15.5,NA,NA,San Jose St,missed,Christian Anigwe,NA,TRUE,FALSE,San Jose St,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,11,1,19:04,2344,2344,Jazz Johnson Defensive Rebound.,0,0,0,3,0.922183818,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Nevada,NA
401173770,2/8/2020,Nevada,San Jose St,12,1,18:58,2338,2338,Foul on Jazz Johnson.,0,0,0,6,0.92206977,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
401173770,2/8/2020,Nevada,San Jose St,13,1,18:58,2338,2338,Jazz Johnson Turnover.,0,0,0,0,0.92206977,0.5,6,6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,San Jose St,NA
