game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,shot_x,shot_y,shot_team,shot_outcome,shooter,assist,three_pt,free_throw,possession_before,possession_after,win_prob_naive
401173780,2/15/2020,Air Force,San Jose St,1,1,20:00,2400,2400,PLAY,0,0,0,0,0.821140658,0.5,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,2,1,19:45,2385,2385,Lavelle Scottie made Jumper. Assisted by Sid Tomes.,2,0,2,15,0.845487863,0.544341852,4,4,9.5,NA,NA,Air Force,made,Lavelle Scottie,Sid Tomes,FALSE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,3,1,19:21,2361,2361,Kaison Hammonds missed Three Point Jumper.,2,0,2,24,0.845267744,0.544853584,4,4,9.5,NA,NA,San Jose St,missed,Kaison Hammonds,NA,TRUE,FALSE,San Jose St,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,4,1,19:16,2356,2356,Richard Washington Offensive Rebound.,2,0,2,5,0.845220602,0.544961194,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,5,1,19:07,2347,2347,Christian Anigwe missed Layup.,2,0,2,9,0.845134582,0.545155719,4,4,9.5,NA,NA,San Jose St,missed,Christian Anigwe,NA,FALSE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,6,1,19:03,2343,2343,Ryan Swan Defensive Rebound.,2,0,2,4,0.84509586,0.545242507,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,7,1,18:38,2318,2318,Ryan Swan made Three Point Jumper. Assisted by A.J. Walker.,5,0,5,25,0.877637906,0.612819594,4,4,9.5,NA,NA,Air Force,made,Ryan Swan,AJ Walker,TRUE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,8,1,18:14,2294,2294,Seneca Knight made Three Point Jumper.,5,3,2,24,0.844595257,0.546320867,4,4,9.5,NA,NA,San Jose St,made,Seneca Knight,NA,TRUE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,9,1,17:53,2273,2273,Sid Tomes made Jumper. Assisted by Lavelle Scottie.,7,3,4,21,0.867471027,0.592768927,4,4,9.5,NA,NA,Air Force,made,Sid Tomes,Lavelle Scottie,FALSE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,10,1,17:21,2241,2241,Seneca Knight missed Layup.,7,3,4,32,0.867481686,0.594177319,4,4,9.5,NA,NA,San Jose St,missed,Seneca Knight,NA,FALSE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,11,1,17:16,2236,2236,Sid Tomes Defensive Rebound.,7,3,4,5,0.8674817,0.594398646,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,12,1,17:10,2230,2230,Lavelle Scottie made Three Point Jumper. Assisted by Sid Tomes.,10,3,7,6,0.897184969,0.661669953,4,4,9.5,NA,NA,Air Force,made,Lavelle Scottie,Sid Tomes,TRUE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,13,1,16:56,2216,2216,Kaison Hammonds made Three Point Jumper.,10,6,4,14,0.867476919,0.595286881,4,4,9.5,NA,NA,San Jose St,made,Kaison Hammonds,NA,TRUE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,14,1,16:35,2195,2195,Foul on Lavelle Scottie.,10,6,4,21,0.867463057,0.596223883,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,15,1,16:35,2195,2195,Lavelle Scottie Turnover.,10,6,4,0,0.867463057,0.596223883,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,16,1,16:11,2171,2171,Kaison Hammonds missed Three Point Jumper.,10,6,4,24,0.867435205,0.597298998,4,4,9.5,NA,NA,San Jose St,missed,Kaison Hammonds,NA,TRUE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,17,1,16:06,2166,2166,A.J. Walker Defensive Rebound.,10,6,4,5,0.867427738,0.597523488,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,18,1,16:02,2162,2162,Chris Joyce made Layup. Assisted by A.J. Walker.,12,6,6,4,0.88857841,0.644249624,4,4,9.5,NA,NA,Air Force,made,Chris Joyce,AJ Walker,FALSE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,19,1,16:02,2162,2162,Foul on Christian Anigwe.,12,6,6,0,0.88857841,0.644249624,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,20,1,16:02,2162,2162,Chris Joyce made Free Throw.,13,6,7,0,0.89800739,0.666596875,4,4,9.5,NA,NA,Air Force,made,Chris Joyce,NA,FALSE,TRUE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,21,1,15:40,2140,2140,Richard Washington made Three Point Jumper. Assisted by Kaison Hammonds.,13,9,4,22,0.867381521,0.598696253,4,4,9.5,NA,NA,San Jose St,made,Richard Washington,Kaison Hammonds,TRUE,FALSE,San Jose St,Air Force,NA
401173780,2/15/2020,Air Force,San Jose St,22,1,15:20,2120,2120,Chris Joyce missed Three Point Jumper.,13,9,4,20,0.86733797,0.599605083,4,4,9.5,NA,NA,Air Force,missed,Chris Joyce,NA,TRUE,FALSE,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,23,1,15:16,2116,2116,Kaison Hammonds Defensive Rebound.,13,9,4,4,0.867328468,0.599787599,4,4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,San Jose St,NA
401173780,2/15/2020,Air Force,San Jose St,24,1,15:05,2105,2105,Seneca Knight made Three Point Jumper.,13,12,1,11,0.828110539,0.525395454,4,4,9.5,NA,NA,San Jose St,made,Seneca Knight,NA,TRUE,FALSE,San Jose St,Air Force,NA
