game_id,date,home,away,play_id,half,time_remaining_half,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,naive_win_prob,home_time_out_remaining,away_time_out_remaining,home_favored_by,shot_x,shot_y,shot_team,shot_outcome,shooter,assist,three_pt,free_throw,possession_before,possession_after
401166471,12/4/2019,Idaho,Washington State,1,1,20:00,2400,2400,PLAY,0,0,0,0,0.110503999,0.5,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Idaho
401166471,12/4/2019,Idaho,Washington State,2,1,19:43,2383,2383,Scott Blakney missed Jumper.,0,0,0,17,0.110853707,0.5,4,4,-13,NA,NA,Idaho,missed,Scott Blakney,NA,FALSE,FALSE,Idaho,Washington State
401166471,12/4/2019,Idaho,Washington State,3,1,19:39,2379,2379,Jaylen Shead Defensive Rebound.,0,0,0,4,0.110937169,0.5,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,Washington State
401166471,12/4/2019,Idaho,Washington State,4,1,19:32,2372,2372,Jeff Pollard made Layup. Assisted by Jaylen Shead.,0,2,-2,7,0.094605004,0.455381965,4,4,-13,NA,NA,Washington State,made,Jeff Pollard,Jaylen Shead,FALSE,FALSE,Washington State,Idaho
401166471,12/4/2019,Idaho,Washington State,5,1,19:19,2359,2359,Foul on Jervae Robinson.,0,2,-2,13,0.094748948,0.455103412,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,Idaho
401166471,12/4/2019,Idaho,Washington State,6,1,19:12,2352,2352,Keyshaad Dixon missed Jumper.,0,2,-2,7,0.094827767,0.45495248,4,4,-13,NA,NA,Idaho,missed,Keyshaad Dixon,NA,FALSE,FALSE,Idaho,Washington State
401166471,12/4/2019,Idaho,Washington State,7,1,19:08,2348,2348,Jeff Pollard Defensive Rebound.,0,2,-2,4,0.094873228,0.454865947,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,Washington State
401166471,12/4/2019,Idaho,Washington State,8,1,18:52,2332,2332,Jervae Robinson made Three Point Jumper. Assisted by Jaylen Shead.,0,5,-5,16,0.073984819,0.387915528,4,4,-13,NA,NA,Washington State,made,Jervae Robinson,Jaylen Shead,TRUE,FALSE,Washington State,Idaho
401166471,12/4/2019,Idaho,Washington State,9,1,18:38,2318,2318,Quinton Forrest missed Jumper.,0,5,-5,14,0.073989709,0.387180406,4,4,-13,NA,NA,Idaho,missed,Quinton Forrest,NA,FALSE,FALSE,Idaho,Idaho
401166471,12/4/2019,Idaho,Washington State,10,1,18:38,2318,2318,Jeff Pollard Block.,0,5,-5,0,0.073989709,0.387180406,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,Idaho
401166471,12/4/2019,Idaho,Washington State,11,1,18:38,2318,2318,Idaho Offensive Rebound.,0,5,-5,0,0.073989709,0.387180406,4,4,-13,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,Idaho
401166471,12/4/2019,Idaho,Washington State,12,1,18:36,2316,2316,Trevon Allen missed Jumper.,0,5,-5,2,0.07399058,0.387074987,4,4,-13,NA,NA,Idaho,missed,Trevon Allen,NA,FALSE,FALSE,Idaho,Washington State
